letter	frequency
kjqwne	.07753
kjqwne	.07753
asdioij	.07774
kjqwne	.07753
asdioij	.07905
kjqwne	.07753
asdioij	.08341
Radu	.0209709
second	.0213636
third	.0210328
Radu	.0209709
second	.0213636
third	.0210328
fourth	.0260685
Radu	.0209709
second	.0213636
third	.0210328
fourth	.0260685
Radu	.0209709
second	.0213636
third	.0210328
fourth	.0260766
Radu	.0209709
second	.0263809
third	.0210328
fourth	.0261474
Radu	.0209709
second	.0263809
third	.0210328
fourth	.0261474
Radu	.0209709
second	.0263809
third	.0210328
fourth	.0282330
Radu	.0209709
second	.0263809
third	.0210328
fourth	.0285274
Radu	.0285288
second	.0263809
third	.0210328
fourth	.0285274
Radu	.0285288
second	.0263809
third	.0210328
fourth	.0287519
first	.0337657
first	.0337657
second	.0337710
first	.0338348
second	.0341531
first	.0338348
second	.0341647
first	.0345407
second	.0341647
first	.0362815
second	.0341647
first	.0363263
second	.0341647
first	.0363394
second	.0341647
first	.0363394
second	.0363412
first	.0363422
second	.0363412
